"n","rho","k","method","rej"
"287",25,0.55,4,"pearson",0.705333333333333
"288",50,0.55,4,"pearson",0.941666666666667
"289",8,0.6,4,"pearson",0.251
"290",15,0.6,4,"pearson",0.521333333333333
"291",25,0.6,4,"pearson",0.772
"292",50,0.6,4,"pearson",0.972666666666667
"293",8,0.65,4,"pearson",0.324
"294",15,0.65,4,"pearson",0.625333333333333
"295",25,0.65,4,"pearson",0.851666666666667
"296",50,0.65,4,"pearson",0.993
"297",8,0.7,4,"pearson",0.376666666666667
"298",15,0.7,4,"pearson",0.705
"299",25,0.7,4,"pearson",0.925333333333333
"300",50,0.7,4,"pearson",0.997666666666667
"301",8,0.75,4,"pearson",0.433
"302",15,0.75,4,"pearson",0.796
"303",25,0.75,4,"pearson",0.963333333333333
"304",50,0.75,4,"pearson",1
"305",8,0.8,4,"pearson",0.501333333333333
"306",15,0.8,4,"pearson",0.883666666666667
"307",25,0.8,4,"pearson",0.988333333333333
"308",50,0.8,4,"pearson",1
"309",8,0.85,4,"pearson",0.623
"310",15,0.85,4,"pearson",0.951
"311",25,0.85,4,"pearson",0.996666666666667
"312",50,0.85,4,"pearson",1
"313",8,0.9,4,"pearson",0.739666666666667
"314",15,0.9,4,"pearson",0.987666666666667
"315",25,0.9,4,"pearson",1
"316",50,0.9,4,"pearson",1
"317",8,0.95,4,"pearson",0.898333333333333
"318",15,0.95,4,"pearson",0.999333333333333
"319",25,0.95,4,"pearson",1
"320",50,0.95,4,"pearson",1
"321",8,0,5,"pearson",0.0466666666666667
"322",15,0,5,"pearson",0.039
"323",25,0,5,"pearson",0.0486666666666667
"324",50,0,5,"pearson",0.0443333333333333
"325",8,0.05,5,"pearson",0.0526666666666667
"326",15,0.05,5,"pearson",0.0613333333333333
"327",25,0.05,5,"pearson",0.052
"328",50,0.05,5,"pearson",0.056
"329",8,0.1,5,"pearson",0.0553333333333333
"330",15,0.1,5,"pearson",0.0653333333333333
"331",25,0.1,5,"pearson",0.068
"332",50,0.1,5,"pearson",0.082
"333",8,0.15,5,"pearson",0.066
"334",15,0.15,5,"pearson",0.0643333333333333
"335",25,0.15,5,"pearson",0.0846666666666667
"336",50,0.15,5,"pearson",0.125
"337",8,0.2,5,"pearson",0.066
"338",15,0.2,5,"pearson",0.079
"339",25,0.2,5,"pearson",0.114666666666667
"340",50,0.2,5,"pearson",0.195666666666667
"341",8,0.25,5,"pearson",0.072
"342",15,0.25,5,"pearson",0.103666666666667
"343",25,0.25,5,"pearson",0.158
"344",50,0.25,5,"pearson",0.273666666666667
"345",8,0.3,5,"pearson",0.0856666666666667
"346",15,0.3,5,"pearson",0.142666666666667
"347",25,0.3,5,"pearson",0.212
"348",50,0.3,5,"pearson",0.378666666666667
"349",8,0.35,5,"pearson",0.115333333333333
"350",15,0.35,5,"pearson",0.162666666666667
"351",25,0.35,5,"pearson",0.251
"352",50,0.35,5,"pearson",0.508666666666667
"353",8,0.4,5,"pearson",0.127666666666667
"354",15,0.4,5,"pearson",0.21
"355",25,0.4,5,"pearson",0.340333333333333
"356",50,0.4,5,"pearson",0.616333333333333
"357",8,0.45,5,"pearson",0.145666666666667
"358",15,0.45,5,"pearson",0.256666666666667
"359",25,0.45,5,"pearson",0.417333333333333
"360",50,0.45,5,"pearson",0.721666666666667
"361",8,0.5,5,"pearson",0.165
"362",15,0.5,5,"pearson",0.317333333333333
"363",25,0.5,5,"pearson",0.539666666666667
"364",50,0.5,5,"pearson",0.822666666666667
"365",8,0.55,5,"pearson",0.197666666666667
"366",15,0.55,5,"pearson",0.396333333333333
"367",25,0.55,5,"pearson",0.626
"368",50,0.55,5,"pearson",0.904333333333333
"369",8,0.6,5,"pearson",0.227333333333333
"370",15,0.6,5,"pearson",0.471333333333333
"371",25,0.6,5,"pearson",0.705
"372",50,0.6,5,"pearson",0.953666666666667
